epoch:1 train_loss:1.6987 lr:0.00010global_acc:0.7162 class_acc:[0.947, 0.249, 0.0, 0.0, 0.0, 0.0, 0.207, 0.0, 0.033, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.294, 0.0, 0.0, 0.0, 0.0, 0.0] iou:[0.736, 0.175, 0.0, 0.0, 0.0, 0.0, 0.07, 0.0, 0.028, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.186, 0.0, 0.0, 0.0, 0.0, 0.0] mean_iou:0.0571
epoch:2 train_loss:1.3238 lr:0.00010global_acc:0.7254 class_acc:[0.924, 0.261, 0.0, 0.074, 0.0, 0.0, 0.007, 0.192, 0.286, 0.0, 0.0, 0.0, 0.036, 0.002, 0.048, 0.647, 0.0, 0.037, 0.0, 0.0, 0.0] iou:[0.761, 0.201, 0.0, 0.056, 0.0, 0.0, 0.007, 0.125, 0.125, 0.0, 0.0, 0.0, 0.03, 0.002, 0.04, 0.281, 0.0, 0.033, 0.0, 0.0, 0.0] mean_iou:0.0791
epoch:3 train_loss:1.2052 lr:0.00010global_acc:0.7563 class_acc:[0.955, 0.287, 0.014, 0.05, 0.0, 0.0, 0.305, 0.323, 0.356, 0.0, 0.001, 0.0, 0.209, 0.101, 0.02, 0.554, 0.0, 0.045, 0.0, 0.0, 0.019] iou:[0.782, 0.24, 0.014, 0.045, 0.0, 0.0, 0.22, 0.195, 0.194, 0.0, 0.001, 0.0, 0.152, 0.071, 0.019, 0.351, 0.0, 0.042, 0.0, 0.0, 0.018] mean_iou:0.1117
epoch:4 train_loss:1.1194 lr:0.00009global_acc:0.7543 class_acc:[0.936, 0.321, 0.029, 0.087, 0.0, 0.0, 0.484, 0.179, 0.584, 0.0, 0.008, 0.0, 0.167, 0.042, 0.55, 0.513, 0.0, 0.015, 0.002, 0.117, 0.173] iou:[0.792, 0.268, 0.027, 0.076, 0.0, 0.0, 0.308, 0.154, 0.21, 0.0, 0.007, 0.0, 0.095, 0.038, 0.185, 0.388, 0.0, 0.015, 0.002, 0.111, 0.135] mean_iou:0.1339
epoch:5 train_loss:1.0418 lr:0.00009global_acc:0.7485 class_acc:[0.928, 0.227, 0.349, 0.004, 0.0, 0.001, 0.24, 0.304, 0.293, 0.003, 0.0, 0.001, 0.209, 0.115, 0.489, 0.707, 0.0, 0.01, 0.0, 0.048, 0.17] iou:[0.79, 0.211, 0.069, 0.004, 0.0, 0.001, 0.181, 0.222, 0.195, 0.003, 0.0, 0.001, 0.143, 0.088, 0.136, 0.377, 0.0, 0.01, 0.0, 0.048, 0.148] mean_iou:0.1251
epoch:6 train_loss:0.9856 lr:0.00009global_acc:0.7609 class_acc:[0.922, 0.261, 0.342, 0.045, 0.054, 0.003, 0.752, 0.394, 0.716, 0.0, 0.044, 0.005, 0.057, 0.066, 0.688, 0.593, 0.0, 0.267, 0.0, 0.097, 0.092] iou:[0.8, 0.25, 0.13, 0.044, 0.052, 0.003, 0.314, 0.283, 0.25, 0.0, 0.042, 0.005, 0.045, 0.062, 0.229, 0.459, 0.0, 0.193, 0.0, 0.095, 0.067] mean_iou:0.1583
epoch:7 train_loss:0.9316 lr:0.00009global_acc:0.7762 class_acc:[0.932, 0.256, 0.42, 0.122, 0.004, 0.131, 0.885, 0.316, 0.485, 0.003, 0.087, 0.044, 0.266, 0.278, 0.712, 0.655, 0.023, 0.108, 0.008, 0.088, 0.243] iou:[0.815, 0.245, 0.12, 0.104, 0.004, 0.115, 0.272, 0.253, 0.302, 0.003, 0.082, 0.043, 0.164, 0.2, 0.316, 0.503, 0.02, 0.096, 0.008, 0.085, 0.211] mean_iou:0.1886
epoch:8 train_loss:0.8953 lr:0.00009global_acc:0.7853 class_acc:[0.924, 0.312, 0.37, 0.063, 0.055, 0.01, 0.831, 0.411, 0.474, 0.031, 0.104, 0.063, 0.41, 0.403, 0.733, 0.72, 0.059, 0.15, 0.043, 0.398, 0.279] iou:[0.82, 0.288, 0.141, 0.061, 0.051, 0.009, 0.36, 0.316, 0.328, 0.029, 0.099, 0.062, 0.238, 0.243, 0.284, 0.467, 0.043, 0.138, 0.041, 0.333, 0.238] mean_iou:0.2185
epoch:9 train_loss:0.8490 lr:0.00009global_acc:0.7983 class_acc:[0.944, 0.487, 0.521, 0.125, 0.076, 0.104, 0.639, 0.723, 0.572, 0.041, 0.001, 0.117, 0.255, 0.531, 0.702, 0.694, 0.024, 0.2, 0.069, 0.11, 0.276] iou:[0.829, 0.405, 0.125, 0.116, 0.07, 0.097, 0.435, 0.471, 0.357, 0.037, 0.001, 0.107, 0.18, 0.241, 0.329, 0.517, 0.024, 0.179, 0.066, 0.109, 0.239] mean_iou:0.2348
epoch:10 train_loss:0.8149 lr:0.00008global_acc:0.8107 class_acc:[0.952, 0.497, 0.561, 0.26, 0.068, 0.109, 0.749, 0.633, 0.51, 0.031, 0.011, 0.167, 0.365, 0.312, 0.715, 0.664, 0.149, 0.267, 0.047, 0.466, 0.287] iou:[0.834, 0.448, 0.184, 0.192, 0.066, 0.106, 0.508, 0.474, 0.321, 0.029, 0.011, 0.153, 0.25, 0.217, 0.363, 0.535, 0.092, 0.2, 0.046, 0.403, 0.266] mean_iou:0.2713
epoch:11 train_loss:0.8000 lr:0.00008global_acc:0.8040 class_acc:[0.934, 0.503, 0.706, 0.178, 0.084, 0.178, 0.703, 0.776, 0.597, 0.023, 0.125, 0.177, 0.331, 0.287, 0.54, 0.76, 0.2, 0.329, 0.108, 0.313, 0.252] iou:[0.832, 0.428, 0.147, 0.156, 0.079, 0.162, 0.518, 0.41, 0.362, 0.022, 0.118, 0.132, 0.242, 0.217, 0.35, 0.528, 0.091, 0.283, 0.096, 0.305, 0.237] mean_iou:0.2721
epoch:12 train_loss:0.7676 lr:0.00008global_acc:0.8088 class_acc:[0.941, 0.49, 0.331, 0.153, 0.054, 0.118, 0.83, 0.601, 0.415, 0.055, 0.066, 0.106, 0.443, 0.451, 0.749, 0.77, 0.184, 0.343, 0.219, 0.218, 0.388] iou:[0.838, 0.447, 0.153, 0.138, 0.052, 0.112, 0.511, 0.469, 0.355, 0.047, 0.063, 0.101, 0.309, 0.251, 0.328, 0.509, 0.095, 0.259, 0.159, 0.209, 0.305] mean_iou:0.2720
epoch:13 train_loss:0.7446 lr:0.00008global_acc:0.8258 class_acc:[0.951, 0.472, 0.533, 0.129, 0.15, 0.209, 0.72, 0.735, 0.503, 0.075, 0.21, 0.261, 0.482, 0.375, 0.713, 0.739, 0.112, 0.422, 0.174, 0.487, 0.385] iou:[0.848, 0.449, 0.204, 0.122, 0.132, 0.19, 0.587, 0.519, 0.4, 0.063, 0.183, 0.2, 0.328, 0.235, 0.368, 0.554, 0.079, 0.293, 0.145, 0.45, 0.324] mean_iou:0.3178
epoch:14 train_loss:0.7252 lr:0.00008global_acc:0.8195 class_acc:[0.936, 0.582, 0.458, 0.141, 0.265, 0.285, 0.883, 0.688, 0.604, 0.144, 0.164, 0.349, 0.461, 0.508, 0.715, 0.723, 0.143, 0.212, 0.208, 0.394, 0.33] iou:[0.845, 0.507, 0.149, 0.132, 0.234, 0.226, 0.544, 0.572, 0.403, 0.097, 0.142, 0.242, 0.301, 0.294, 0.338, 0.59, 0.071, 0.195, 0.171, 0.366, 0.294] mean_iou:0.3196
epoch:15 train_loss:0.7042 lr:0.00007global_acc:0.8283 class_acc:[0.946, 0.616, 0.391, 0.348, 0.264, 0.434, 0.851, 0.781, 0.52, 0.218, 0.21, 0.315, 0.503, 0.5, 0.679, 0.673, 0.119, 0.446, 0.162, 0.379, 0.411] iou:[0.85, 0.507, 0.18, 0.249, 0.222, 0.325, 0.554, 0.518, 0.414, 0.116, 0.187, 0.233, 0.366, 0.32, 0.369, 0.589, 0.08, 0.324, 0.133, 0.357, 0.348] mean_iou:0.3449
epoch:16 train_loss:0.6842 lr:0.00007global_acc:0.8170 class_acc:[0.93, 0.519, 0.406, 0.274, 0.255, 0.276, 0.77, 0.756, 0.655, 0.202, 0.267, 0.299, 0.335, 0.581, 0.581, 0.615, 0.28, 0.665, 0.263, 0.583, 0.462] iou:[0.841, 0.476, 0.22, 0.229, 0.229, 0.223, 0.596, 0.532, 0.421, 0.12, 0.224, 0.242, 0.281, 0.285, 0.382, 0.558, 0.072, 0.271, 0.182, 0.5, 0.371] mean_iou:0.3455
