lr: 0.1 epoch:1  train_loss:4.082  train_top1:7.074%  train_top5:23.804% valid_loss:3.647  valid_top1:13.140%  valid_top5:37.930%
lr: 0.1 epoch:2  train_loss:3.771  train_top1:11.741%  train_top5:33.359% valid_loss:3.251  valid_top1:20.860%  valid_top5:49.570%
lr: 0.1 epoch:3  train_loss:3.546  train_top1:15.495%  train_top5:39.913% valid_loss:2.940  valid_top1:27.540%  valid_top5:58.350%
lr: 0.1 epoch:4  train_loss:3.362  train_top1:18.667%  train_top5:44.947% valid_loss:2.685  valid_top1:32.320%  valid_top5:64.680%
lr: 0.1 epoch:5  train_loss:3.206  train_top1:21.587%  train_top5:49.035% valid_loss:2.484  valid_top1:35.910%  valid_top5:68.570%
lr: 0.1 epoch:6  train_loss:3.069  train_top1:24.193%  train_top5:52.514% valid_loss:2.302  valid_top1:39.730%  valid_top5:72.270%
lr: 0.1 epoch:7  train_loss:2.948  train_top1:26.604%  train_top5:55.453% valid_loss:2.180  valid_top1:42.540%  valid_top5:75.250%
lr: 0.1 epoch:8  train_loss:2.842  train_top1:28.778%  train_top5:57.965% valid_loss:2.093  valid_top1:44.400%  valid_top5:76.750%
lr: 0.1 epoch:9  train_loss:2.745  train_top1:30.739%  train_top5:60.181% valid_loss:1.969  valid_top1:47.260%  valid_top5:78.830%
lr: 0.1 epoch:10  train_loss:2.658  train_top1:32.513%  train_top5:62.142% valid_loss:1.866  valid_top1:50.120%  valid_top5:80.130%
lr: 0.1 epoch:11  train_loss:2.578  train_top1:34.205%  train_top5:63.918% valid_loss:1.804  valid_top1:51.560%  valid_top5:81.240%
lr: 0.1 epoch:12  train_loss:2.506  train_top1:35.755%  train_top5:65.490% valid_loss:1.777  valid_top1:52.610%  valid_top5:82.240%
lr: 0.1 epoch:13  train_loss:2.438  train_top1:37.182%  train_top5:66.930% valid_loss:1.757  valid_top1:53.150%  valid_top5:82.230%
lr: 0.1 epoch:14  train_loss:2.376  train_top1:38.524%  train_top5:68.220% valid_loss:1.660  valid_top1:55.230%  valid_top5:83.470%
lr: 0.1 epoch:15  train_loss:2.318  train_top1:39.767%  train_top5:69.415% valid_loss:1.661  valid_top1:55.150%  valid_top5:83.240%
lr: 0.1 epoch:16  train_loss:2.264  train_top1:40.954%  train_top5:70.511% valid_loss:1.599  valid_top1:56.890%  valid_top5:84.640%
lr: 0.1 epoch:17  train_loss:2.213  train_top1:42.057%  train_top5:71.521% valid_loss:1.567  valid_top1:57.330%  valid_top5:85.340%
lr: 0.1 epoch:18  train_loss:2.165  train_top1:43.129%  train_top5:72.466% valid_loss:1.566  valid_top1:57.970%  valid_top5:85.030%
lr: 0.1 epoch:19  train_loss:2.120  train_top1:44.141%  train_top5:73.343% valid_loss:1.560  valid_top1:58.780%  valid_top5:85.560%
lr: 0.1 epoch:20  train_loss:2.077  train_top1:45.116%  train_top5:74.163% valid_loss:1.527  valid_top1:59.490%  valid_top5:86.130%
lr: 0.1 epoch:21  train_loss:2.036  train_top1:46.036%  train_top5:74.934% valid_loss:1.503  valid_top1:59.810%  valid_top5:86.630%
lr: 0.1 epoch:22  train_loss:1.997  train_top1:46.915%  train_top5:75.665% valid_loss:1.512  valid_top1:60.120%  valid_top5:86.220%
lr: 0.1 epoch:23  train_loss:1.960  train_top1:47.777%  train_top5:76.348% valid_loss:1.496  valid_top1:60.490%  valid_top5:86.710%
lr: 0.1 epoch:24  train_loss:1.924  train_top1:48.597%  train_top5:77.001% valid_loss:1.507  valid_top1:60.090%  valid_top5:86.760%
lr: 0.1 epoch:25  train_loss:1.890  train_top1:49.390%  train_top5:77.614% valid_loss:1.474  valid_top1:61.600%  valid_top5:86.920%
lr: 0.1 epoch:26  train_loss:1.858  train_top1:50.148%  train_top5:78.204% valid_loss:1.471  valid_top1:61.890%  valid_top5:87.290%
lr: 0.1 epoch:27  train_loss:1.826  train_top1:50.888%  train_top5:78.763% valid_loss:1.465  valid_top1:61.800%  valid_top5:87.490%
lr: 0.1 epoch:28  train_loss:1.796  train_top1:51.600%  train_top5:79.288% valid_loss:1.489  valid_top1:61.920%  valid_top5:87.630%
lr: 0.1 epoch:29  train_loss:1.767  train_top1:52.289%  train_top5:79.789% valid_loss:1.483  valid_top1:61.910%  valid_top5:87.440%
lr: 0.1 epoch:30  train_loss:1.738  train_top1:52.963%  train_top5:80.274% valid_loss:1.485  valid_top1:62.600%  valid_top5:87.300%
lr: 0.1 epoch:31  train_loss:1.711  train_top1:53.601%  train_top5:80.737% valid_loss:1.468  valid_top1:63.110%  valid_top5:87.520%
lr: 0.1 epoch:32  train_loss:1.685  train_top1:54.231%  train_top5:81.183% valid_loss:1.527  valid_top1:62.350%  valid_top5:87.070%
lr: 0.1 epoch:33  train_loss:1.659  train_top1:54.846%  train_top5:81.606% valid_loss:1.538  valid_top1:62.540%  valid_top5:87.190%
lr: 0.1 epoch:34  train_loss:1.634  train_top1:55.450%  train_top5:82.018% valid_loss:1.515  valid_top1:63.040%  valid_top5:87.690%
lr: 0.1 epoch:35  train_loss:1.610  train_top1:56.033%  train_top5:82.412% valid_loss:1.509  valid_top1:63.230%  valid_top5:87.670%
lr: 0.1 epoch:36  train_loss:1.587  train_top1:56.597%  train_top5:82.791% valid_loss:1.500  valid_top1:62.640%  valid_top5:87.730%
lr: 0.1 epoch:37  train_loss:1.564  train_top1:57.159%  train_top5:83.156% valid_loss:1.533  valid_top1:63.170%  valid_top5:87.860%
lr: 0.1 epoch:38  train_loss:1.541  train_top1:57.709%  train_top5:83.508% valid_loss:1.529  valid_top1:62.830%  valid_top5:87.990%
lr: 0.1 epoch:39  train_loss:1.520  train_top1:58.236%  train_top5:83.846% valid_loss:1.531  valid_top1:63.250%  valid_top5:87.820%
lr: 0.1 epoch:40  train_loss:1.499  train_top1:58.753%  train_top5:84.174% valid_loss:1.518  valid_top1:63.630%  valid_top5:88.140%
lr: 0.1 epoch:41  train_loss:1.478  train_top1:59.261%  train_top5:84.491% valid_loss:1.543  valid_top1:63.340%  valid_top5:87.990%
lr: 0.1 epoch:42  train_loss:1.458  train_top1:59.758%  train_top5:84.797% valid_loss:1.566  valid_top1:63.790%  valid_top5:87.840%
lr: 0.1 epoch:43  train_loss:1.438  train_top1:60.255%  train_top5:85.097% valid_loss:1.554  valid_top1:63.920%  valid_top5:88.610%
lr: 0.1 epoch:44  train_loss:1.419  train_top1:60.737%  train_top5:85.384% valid_loss:1.602  valid_top1:63.550%  valid_top5:87.640%
lr: 0.1 epoch:45  train_loss:1.400  train_top1:61.208%  train_top5:85.661% valid_loss:1.596  valid_top1:64.170%  valid_top5:87.900%
lr: 0.1 epoch:46  train_loss:1.382  train_top1:61.668%  train_top5:85.930% valid_loss:1.621  valid_top1:63.410%  valid_top5:87.950%
lr: 0.1 epoch:47  train_loss:1.364  train_top1:62.122%  train_top5:86.190% valid_loss:1.605  valid_top1:63.780%  valid_top5:87.720%
lr: 0.1 epoch:48  train_loss:1.346  train_top1:62.568%  train_top5:86.443% valid_loss:1.614  valid_top1:63.580%  valid_top5:88.100%
lr: 0.1 epoch:49  train_loss:1.329  train_top1:63.002%  train_top5:86.686% valid_loss:1.648  valid_top1:63.060%  valid_top5:87.510%
lr: 0.1 epoch:50  train_loss:1.312  train_top1:63.426%  train_top5:86.923% valid_loss:1.650  valid_top1:64.100%  valid_top5:88.060%
lr: 0.1 epoch:51  train_loss:1.296  train_top1:63.838%  train_top5:87.152% valid_loss:1.640  valid_top1:64.400%  valid_top5:88.290%
lr: 0.1 epoch:52  train_loss:1.280  train_top1:64.252%  train_top5:87.375% valid_loss:1.746  valid_top1:63.470%  valid_top5:87.320%
lr: 0.1 epoch:53  train_loss:1.264  train_top1:64.656%  train_top5:87.590% valid_loss:1.736  valid_top1:63.570%  valid_top5:87.780%
lr: 0.1 epoch:54  train_loss:1.249  train_top1:65.057%  train_top5:87.800% valid_loss:1.709  valid_top1:64.310%  valid_top5:87.610%
lr: 0.1 epoch:55  train_loss:1.234  train_top1:65.445%  train_top5:88.003% valid_loss:1.724  valid_top1:63.360%  valid_top5:88.000%
lr: 0.1 epoch:56  train_loss:1.219  train_top1:65.825%  train_top5:88.199% valid_loss:1.759  valid_top1:64.050%  valid_top5:87.730%
lr: 0.1 epoch:57  train_loss:1.205  train_top1:66.199%  train_top5:88.390% valid_loss:1.726  valid_top1:64.410%  valid_top5:88.100%
lr: 0.1 epoch:58  train_loss:1.191  train_top1:66.568%  train_top5:88.576% valid_loss:1.766  valid_top1:63.830%  valid_top5:87.750%
lr: 0.1 epoch:59  train_loss:1.177  train_top1:66.930%  train_top5:88.756% valid_loss:1.729  valid_top1:64.950%  valid_top5:87.710%
lr: 0.02 epoch:60  train_loss:1.163  train_top1:67.290%  train_top5:88.931% valid_loss:1.812  valid_top1:63.620%  valid_top5:87.610%
lr: 0.02 epoch:61  train_loss:1.148  train_top1:67.706%  train_top5:89.107% valid_loss:1.623  valid_top1:66.820%  valid_top5:88.970%
lr: 0.02 epoch:62  train_loss:1.133  train_top1:68.129%  train_top5:89.279% valid_loss:1.611  valid_top1:66.740%  valid_top5:89.050%
lr: 0.02 epoch:63  train_loss:1.118  train_top1:68.548%  train_top5:89.447% valid_loss:1.601  valid_top1:67.220%  valid_top5:89.090%
lr: 0.02 epoch:64  train_loss:1.103  train_top1:68.962%  train_top5:89.609% valid_loss:1.619  valid_top1:67.030%  valid_top5:88.990%
lr: 0.02 epoch:65  train_loss:1.089  train_top1:69.364%  train_top5:89.767% valid_loss:1.627  valid_top1:67.010%  valid_top5:88.790%
lr: 0.02 epoch:66  train_loss:1.075  train_top1:69.758%  train_top5:89.920% valid_loss:1.620  valid_top1:67.220%  valid_top5:89.000%
lr: 0.02 epoch:67  train_loss:1.061  train_top1:70.143%  train_top5:90.068% valid_loss:1.650  valid_top1:67.070%  valid_top5:88.870%
lr: 0.02 epoch:68  train_loss:1.048  train_top1:70.521%  train_top5:90.212% valid_loss:1.642  valid_top1:67.130%  valid_top5:89.080%
lr: 0.02 epoch:69  train_loss:1.035  train_top1:70.889%  train_top5:90.352% valid_loss:1.650  valid_top1:67.000%  valid_top5:89.180%
lr: 0.02 epoch:70  train_loss:1.022  train_top1:71.249%  train_top5:90.489% valid_loss:1.664  valid_top1:67.170%  valid_top5:88.900%
lr: 0.02 epoch:71  train_loss:1.010  train_top1:71.598%  train_top5:90.622% valid_loss:1.646  valid_top1:67.190%  valid_top5:89.310%
lr: 0.02 epoch:72  train_loss:0.997  train_top1:71.940%  train_top5:90.751% valid_loss:1.657  valid_top1:67.400%  valid_top5:89.200%
lr: 0.02 epoch:73  train_loss:0.986  train_top1:72.273%  train_top5:90.876% valid_loss:1.681  valid_top1:67.140%  valid_top5:88.870%
lr: 0.02 epoch:74  train_loss:0.974  train_top1:72.596%  train_top5:90.998% valid_loss:1.680  valid_top1:67.230%  valid_top5:88.990%


